SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
J144516.89+034546.2,221.32038,3.76285,0.095,11.50(0.15),16.340(0.005),15.870(0.004),21.77(0.08),21.62(0.08),-2.23(0.21) 
J144519.61+033854.8,221.33171,3.64857,0.114,11.21(0.11),17.021(0.006),16.555(0.005),23.40(0.16),22.75(0.14),-2.52(0.22) 
J144538.89+032023.0,221.41204,3.33975,0.126,11.28(0.12),16.912(0.006),16.454(0.005),99.00(99.00),99.00(99.00),nan(99.00) 
J144609.96+430444.8,221.54151,43.07911,0.133,11.37(0.12),16.393(0.005),16.004(0.004),22.03(0.08),21.72(0.07),-2.27(0.21) 
J144613.63-012058.9,221.55680,-1.34969,0.132,11.30(0.11),16.870(0.006),16.472(0.005),22.15(0.08),22.54(0.10),-2.25(0.21) 
J144708.57-011710.9,221.78574,-1.28637,0.148,11.07(0.13),17.719(0.009),17.277(0.007),99.00(99.00),24.80(0.29),-3.42(0.22) 
J144711.51+421825.5,221.79799,42.30709,0.133,11.11(0.15),17.288(0.007),16.908(0.006),99.00(99.00),23.00(0.14),-2.74(0.22) 
J144718.40-010618.8,221.82665,-1.10523,0.148,11.40(0.19),16.939(0.006),16.477(0.005),22.17(0.08),21.62(0.06),-2.08(0.21) 
J144742.98-011348.1,221.92909,-1.23004,0.146,11.48(0.12),16.782(0.006),16.332(0.005),21.69(0.07),22.03(0.08),-2.10(0.21) 
J144748.42+020511.4,221.95178,2.08651,0.121,11.23(0.10),16.624(0.005),16.160(0.004),22.31(0.09),22.48(0.10),-2.38(0.21) 
J144800.80+035417.6,222.00336,3.90491,0.095,11.21(0.12),16.105(0.004),15.891(0.004),19.76(0.02),20.47(0.04),-1.62(0.19) 
J144808.67-002244.5,222.03615,-0.37904,0.130,11.18(0.14),17.162(0.007),16.739(0.006),22.05(0.08),21.84(0.07),-2.00(0.21) 
J144818.38+033144.4,222.07658,3.52901,0.124,11.63(0.11),15.701(0.003),15.245(0.003),20.46(0.03),20.03(0.03),-1.92(0.20) 
J144821.09+033242.8,222.08790,3.54524,0.127,11.09(0.09),17.237(0.007),16.777(0.006),24.16(0.21),22.08(0.09),-2.34(0.21) 
J144821.88+033116.3,222.09115,3.52122,0.119,11.45(0.10),16.447(0.005),15.961(0.004),22.06(0.08),21.37(0.06),-2.21(0.21) 
J144830.54+020854.6,222.12730,2.14853,0.121,11.23(0.11),16.654(0.005),16.184(0.004),22.76(0.10),22.53(0.09),-2.49(0.22) 
J144850.95+025113.7,222.21231,2.85382,0.124,11.36(0.11),16.941(0.006),16.471(0.005),24.07(0.20),23.64(0.18),-2.86(0.22) 
J144852.11-011100.7,222.21713,-1.18352,0.147,11.07(0.14),17.631(0.009),17.207(0.007),25.21(0.35),23.48(0.16),-2.70(0.22) 
J144902.75+035758.0,222.26148,3.96613,0.124,11.57(0.10),16.191(0.004),15.742(0.004),22.68(0.12),22.82(0.16),-2.70(0.22) 
J144909.31+014644.5,222.28883,1.77903,0.134,11.16(0.16),17.293(0.007),16.810(0.006),23.79(0.17),23.39(0.15),-2.62(0.22) 
J144912.69+025602.2,222.30290,2.93397,0.123,11.17(0.14),16.945(0.006),16.481(0.005),22.80(0.11),21.96(0.08),-2.26(0.21) 
J144914.34+023125.8,222.30978,2.52385,0.121,11.20(0.12),16.738(0.006),16.289(0.005),23.10(0.13),21.81(0.08),-2.35(0.21) 
J145001.97+033225.7,222.50820,3.54050,0.131,11.05(0.11),17.593(0.009),17.126(0.007),99.00(99.00),23.64(0.20),-2.97(0.22) 
J145136.07+432340.8,222.90028,43.39467,0.116,11.24(0.14),16.540(0.005),16.088(0.004),20.00(0.03),19.93(0.03),-1.47(0.17) 
J145144.92-011208.3,222.93721,-1.20231,0.150,11.17(0.15),17.387(0.008),16.958(0.006),23.25(0.13),23.16(0.14),-2.41(0.21) 
J145146.99+020509.3,222.94582,2.08596,0.148,11.18(0.08),17.494(0.008),17.020(0.006),22.60(0.10),23.26(0.15),-2.22(0.21) 
J145152.03+010244.7,222.96683,1.04577,0.119,11.13(0.12),17.209(0.007),16.773(0.006),22.07(0.07),21.90(0.07),-2.00(0.21) 
J145208.81+000830.5,223.03672,0.14182,0.147,11.41(0.13),17.281(0.007),16.827(0.006),22.24(0.08),22.00(0.08),-2.03(0.21) 
J145211.63+021838.1,223.04848,2.31061,0.113,11.58(0.11),15.931(0.004),15.469(0.003),21.65(0.06),21.82(0.07),-2.40(0.21) 
J145228.62-020321.4,223.11932,-2.05597,0.100,11.34(0.14),15.967(0.004),15.541(0.003),21.58(0.08),21.57(0.08),-2.32(0.21) 
J145236.98+004803.3,223.15412,0.80095,0.148,11.12(0.14),17.067(0.007),16.674(0.005),20.40(0.03),20.99(0.04),-1.50(0.18) 
J145307.45-001352.2,223.28108,-0.23118,0.139,11.33(0.12),16.845(0.006),16.390(0.005),24.48(0.25),22.80(0.13),-2.75(0.22) 
J145308.49+032830.0,223.28540,3.47501,0.125,11.15(0.12),17.224(0.007),16.756(0.006),22.91(0.13),22.67(0.13),-2.32(0.21) 
J145310.07+033415.7,223.29194,3.57103,0.127,11.56(0.10),16.143(0.004),15.633(0.003),21.81(0.07),21.65(0.07),-2.33(0.21) 
J145323.01+033724.8,223.34586,3.62355,0.126,11.49(0.12),16.356(0.005),15.955(0.004),20.93(0.04),21.06(0.06),-1.93(0.20) 
J145326.82+033620.9,223.36172,3.60582,0.126,11.32(0.18),17.773(0.009),17.283(0.007),22.55(0.10),22.77(0.12),-2.03(0.21) 
J145331.25+424506.8,223.38026,42.75190,0.116,11.41(0.16),16.355(0.005),15.897(0.004),21.85(0.07),21.60(0.07),-2.24(0.21) 
J145343.25+035158.0,223.43019,3.86611,0.128,11.15(0.12),16.975(0.006),16.549(0.005),20.92(0.05),20.79(0.05),-1.64(0.19) 
J145351.71+012508.7,223.46547,1.41911,0.149,11.04(0.15),17.128(0.007),16.746(0.006),21.11(0.05),20.74(0.04),-1.61(0.19) 
J145406.06+432902.3,223.52527,43.48400,0.092,11.03(0.12),16.730(0.006),16.312(0.005),22.30(0.09),22.42(0.10),-2.33(0.21) 
J145418.82+012435.1,223.57844,1.40977,0.144,11.15(0.11),17.423(0.008),17.038(0.006),99.00(99.00),22.40(0.09),-2.45(0.22) 
J145419.69+013257.3,223.58204,1.54925,0.147,11.29(0.12),17.398(0.008),16.943(0.006),21.92(0.07),21.69(0.07),-1.86(0.20) 
J145423.43+011923.8,223.59761,1.32329,0.132,11.09(0.16),17.041(0.006),16.655(0.005),21.45(0.06),21.09(0.05),-1.78(0.20) 
J145429.56+012050.4,223.62317,1.34733,0.144,11.53(0.10),16.709(0.006),16.268(0.005),22.47(0.10),23.10(0.15),-2.47(0.22) 
J145435.56+031418.8,223.64821,3.23858,0.125,11.02(0.14),17.414(0.008),16.956(0.006),24.74(0.35),23.58(0.20),-2.77(0.22) 
J145508.78-002026.7,223.78662,-0.34076,0.142,11.10(0.18),17.059(0.006),16.636(0.005),21.29(0.05),21.42(0.06),-1.80(0.20) 
J145530.48-002521.4,223.87704,-0.42263,0.084,11.02(0.10),16.640(0.005),16.203(0.004),23.52(0.17),24.76(0.37),-2.97(0.22) 
J145533.34+014448.0,223.88892,1.74669,0.150,11.25(0.14),17.353(0.008),16.952(0.006),24.57(0.28),99.00(99.00),-3.22(0.22) 
J145552.87-015534.1,223.97030,-1.92617,0.084,11.29(0.11),15.713(0.004),15.239(0.003),20.46(0.04),20.04(0.03),-1.91(0.20) 
J145557.10+015419.0,223.98797,1.90530,0.134,11.16(0.10),17.134(0.007),16.732(0.006),23.45(0.14),22.20(0.08),-2.33(0.21) 
J145609.23-001332.8,224.03849,-0.22581,0.110,11.27(0.16),16.206(0.004),15.810(0.004),20.33(0.03),20.10(0.03),-1.69(0.19) 
J145619.96+430340.8,224.08319,43.06135,0.113,11.04(0.17),16.951(0.006),16.464(0.005),23.23(0.13),22.31(0.09),-2.42(0.21) 
J145622.33-001355.6,224.09305,-0.23212,0.104,11.12(0.11),16.980(0.006),16.547(0.005),22.74(0.10),24.37(0.27),-2.55(0.22) 
J145626.40+015825.7,224.11004,1.97384,0.139,11.24(0.12),17.181(0.007),16.722(0.006),99.00(99.00),22.96(0.12),-2.81(0.22) 
J145629.84+443703.4,224.12437,44.61763,0.134,11.37(0.16),16.637(0.005),16.208(0.004),21.17(0.06),21.38(0.06),-1.93(0.20) 
J145639.31+000837.1,224.16383,0.14366,0.106,11.17(0.11),16.698(0.006),16.281(0.005),21.69(0.06),21.54(0.06),-2.05(0.21) 
J145747.32-015135.0,224.44719,-1.85972,0.111,11.19(0.14),16.778(0.006),16.319(0.005),22.07(0.08),21.97(0.08),-2.19(0.21) 
J145825.99+013455.6,224.60833,1.58213,0.144,11.15(0.09),17.642(0.009),17.174(0.007),24.00(0.20),24.17(0.22),-2.65(0.22) 
J145844.72-021506.4,224.68636,-2.25177,0.106,11.02(0.10),17.178(0.007),16.717(0.006),23.75(0.20),21.99(0.10),-2.30(0.21) 
J145848.35+014412.2,224.70147,1.73674,0.139,11.22(0.11),17.047(0.007),16.603(0.005),21.81(0.07),21.59(0.06),-1.95(0.20) 
J145850.41-011243.2,224.71006,-1.21201,0.118,11.23(0.17),16.734(0.006),16.297(0.005),20.83(0.04),22.56(0.10),0.00(99.00) 
J145944.54+031108.9,224.93558,3.18583,0.134,11.37(0.10),16.718(0.006),16.259(0.005),22.10(0.09),22.40(0.11),-2.28(0.21) 
J145945.40+015647.3,224.93917,1.94652,0.147,11.04(0.14),17.503(0.008),17.121(0.007),23.31(0.13),22.48(0.09),-2.23(0.21) 
J145948.60+004828.7,224.95259,0.80801,0.143,11.06(0.18),17.439(0.008),17.006(0.006),21.74(0.07),21.76(0.07),-1.81(0.20) 
J145948.99+032851.7,224.95416,3.48106,0.134,11.25(0.13),16.949(0.006),16.481(0.005),22.42(0.10),22.26(0.10),-2.25(0.21) 
J150007.52-012949.6,225.03135,-1.49711,0.110,11.37(0.14),16.736(0.006),16.274(0.005),22.76(0.12),21.85(0.08),-2.31(0.21) 
J150013.13+030342.7,225.05471,3.06188,0.134,11.12(0.15),17.315(0.007),16.832(0.006),22.36(0.09),22.13(0.09),-2.07(0.21) 
J150028.92+033812.9,225.12053,3.63695,0.124,11.32(0.13),16.632(0.005),16.221(0.005),23.06(0.14),20.83(0.05),-2.08(0.21) 
J150030.97+023910.8,225.12908,2.65299,0.085,11.03(0.19),16.516(0.005),16.068(0.004),22.50(0.10),22.49(0.10),-2.47(0.22) 
J150056.83+020901.8,225.23682,2.15051,0.121,11.68(0.12),15.870(0.004),15.375(0.003),21.41(0.06),21.54(0.06),-2.33(0.21) 
J150102.53+020812.3,225.26058,2.13677,0.121,11.02(0.13),17.504(0.008),17.032(0.006),24.62(0.26),23.95(0.20),-2.81(0.22) 
J150137.37-021758.5,225.40572,-2.29962,0.138,11.01(0.17),17.375(0.008),16.918(0.006),21.38(0.07),21.50(0.09),-1.71(0.19) 
J150144.48+030854.7,225.43531,3.14853,0.133,11.17(0.11),17.633(0.009),17.170(0.007),22.12(0.09),24.17(0.25),-2.06(0.21) 
J150303.35+035649.8,225.76399,3.94719,0.124,11.46(0.10),16.466(0.005),16.011(0.004),21.67(0.07),21.76(0.11),-2.18(0.21) 
J150352.08+013609.4,225.96704,1.60262,0.145,11.20(0.13),17.372(0.008),16.871(0.006),22.23(0.10),22.54(0.11),-2.08(0.21) 
J150444.08+021344.7,226.18366,2.22909,0.113,11.27(0.15),17.026(0.007),16.571(0.005),23.34(0.16),23.54(0.20),-2.64(0.22) 
J150545.39+023804.7,226.43915,2.63468,0.103,11.38(0.11),16.118(0.004),15.636(0.003),22.57(0.11),22.11(0.12),-2.58(0.22) 
J150716.97+422841.4,226.82073,42.47817,0.145,11.27(0.12),17.222(0.007),16.789(0.006),22.26(0.09),22.51(0.11),-2.13(0.21) 
J150758.49+420514.1,226.99374,42.08725,0.134,11.67(0.11),15.908(0.004),15.544(0.003),21.40(0.07),21.23(0.06),-2.24(0.21) 
J150956.68+444708.8,227.48617,44.78578,0.132,11.46(0.13),16.641(0.006),16.320(0.005),22.48(0.11),23.89(0.32),-2.56(0.22) 
J151123.56+422213.7,227.84816,42.37049,0.122,11.15(0.13),16.334(0.005),16.058(0.004),20.60(0.04),20.28(0.03),-1.71(0.19) 
J151201.04+440610.9,228.00433,44.10301,0.146,11.17(0.12),17.389(0.008),17.007(0.006),23.80(0.19),23.19(0.15),-2.52(0.22) 
J151314.37+414816.4,228.30991,41.80461,0.075,11.08(0.11),16.057(0.004),15.703(0.004),20.77(0.05),20.67(0.06),-1.94(0.20) 
J151318.37+444446.7,228.32657,44.74632,0.118,11.02(0.12),17.116(0.007),16.768(0.006),22.86(0.14),22.08(0.10),-2.20(0.21) 
J151417.28+423308.5,228.57203,42.55238,0.135,11.64(0.12),16.223(0.004),15.852(0.004),22.14(0.08),21.96(0.09),-2.40(0.21) 
J151431.13+415754.5,228.62971,41.96516,0.136,11.58(0.14),16.602(0.005),16.240(0.005),22.17(0.10),21.52(0.07),-2.17(0.21) 
J151449.10+441715.2,228.70461,44.28753,0.120,11.36(0.11),16.585(0.005),16.157(0.004),21.39(0.05),22.03(0.08),-2.09(0.21) 
J151454.07+420047.3,228.72531,42.01317,0.135,12.11(0.10),15.186(0.003),14.753(0.002),20.01(0.03),20.24(0.04),-2.05(0.21) 
J151540.23+435118.0,228.91769,43.85498,0.135,11.45(0.15),16.579(0.005),16.182(0.004),24.09(0.21),22.99(0.13),-2.84(0.22) 
J151542.59+440504.8,228.92747,44.08466,0.135,11.14(0.10),17.320(0.007),16.906(0.006),23.69(0.18),23.50(0.17),-2.59(0.22) 
J151545.90+420948.9,228.94125,42.16360,0.133,11.20(0.11),17.086(0.007),16.721(0.006),21.13(0.05),21.31(0.06),-1.72(0.19) 
J151548.47+421953.3,228.95200,42.33149,0.134,11.17(0.12),17.150(0.007),16.792(0.006),22.81(0.12),22.42(0.12),-2.26(0.21) 
J151603.07+441946.2,229.01283,44.32950,0.122,11.23(0.14),16.312(0.005),15.960(0.004),19.23(0.02),19.30(0.02),-1.27(0.14) 
J151758.34+440446.4,229.49308,44.07955,0.116,11.63(0.14),15.982(0.004),15.569(0.003),21.86(0.07),22.08(0.08),-2.46(0.22) 
J151819.62+445228.6,229.58179,44.87463,0.145,11.20(0.12),17.079(0.007),16.708(0.006),22.88(0.14),22.62(0.13),-2.34(0.21) 
J151824.67+444155.1,229.60281,44.69864,0.144,11.50(0.12),16.447(0.005),16.075(0.004),19.94(0.03),20.08(0.04),-1.50(0.18) 
J151829.78+420503.1,229.62409,42.08420,0.148,11.19(0.12),17.071(0.007),16.749(0.006),22.20(0.09),22.33(0.11),-2.14(0.21) 
J151839.29+431314.1,229.66372,43.22059,0.127,11.17(0.13),16.957(0.006),16.551(0.005),23.67(0.18),22.99(0.13),-2.63(0.22) 
J151841.33+443443.0,229.67222,44.57860,0.117,11.15(0.13),16.743(0.006),16.357(0.005),23.15(0.16),23.38(0.18),-2.67(0.22) 
J151856.04+442948.4,229.73352,44.49678,0.142,11.30(0.13),17.188(0.007),16.822(0.006),21.59(0.07),21.39(0.07),-1.80(0.20) 
J151857.19+434152.6,229.73833,43.69793,0.126,11.77(0.10),15.594(0.003),15.177(0.003),20.40(0.03),20.45(0.04),-2.01(0.21) 
J151940.89+434221.6,229.92041,43.70598,0.118,11.27(0.12),16.746(0.006),16.343(0.005),20.16(0.03),19.89(0.03),-1.41(0.17) 
J152000.52+443838.8,230.00219,44.64411,0.142,11.28(0.13),16.980(0.007),16.653(0.005),21.25(0.06),21.18(0.05),-1.77(0.20) 
J152013.74+435328.7,230.05728,43.89131,0.150,11.31(0.12),16.943(0.006),16.560(0.005),22.26(0.09),22.54(0.11),-2.24(0.21) 
J152017.19+423132.8,230.07165,42.52577,0.144,11.26(0.10),17.122(0.007),16.749(0.006),23.42(0.14),23.71(0.18),-2.63(0.22) 
J152125.83+432715.7,230.35761,43.45437,0.135,12.00(0.17),16.173(0.004),15.758(0.004),19.96(0.03),19.86(0.03),-1.58(0.18) 
J152143.57+440835.0,230.43157,44.14307,0.129,11.35(0.10),16.733(0.006),16.335(0.005),22.11(0.08),22.80(0.12),-2.32(0.21) 
J152216.54+422243.0,230.56892,42.37864,0.135,11.57(0.12),16.020(0.004),15.646(0.003),20.75(0.04),20.52(0.04),-1.92(0.20) 
J152242.07+431507.1,230.67528,43.25199,0.110,11.47(0.10),16.126(0.004),15.714(0.003),22.61(0.10),22.64(0.11),-2.67(0.22) 
J152245.18+424451.0,230.68829,42.74752,0.109,11.13(0.16),16.209(0.004),15.859(0.004),20.59(0.04),20.55(0.04),-1.82(0.20) 
J152310.91+434526.8,230.79549,43.75744,0.149,11.17(0.10),17.328(0.007),16.962(0.006),23.18(0.13),22.74(0.12),-2.33(0.21) 
J152356.67+434442.8,230.98615,43.74521,0.124,11.12(0.12),16.998(0.006),16.614(0.005),22.57(0.10),22.46(0.11),-2.28(0.21) 
J152611.36+443929.6,231.54736,44.65823,0.114,11.10(0.12),16.588(0.005),16.226(0.004),22.17(0.10),22.24(0.11),-2.31(0.21) 
J152712.87+435626.1,231.80364,43.94060,0.148,11.26(0.11),17.164(0.007),16.824(0.006),23.31(0.14),23.47(0.16),-2.55(0.22) 
J152746.00+431628.7,231.94173,43.27467,0.123,11.09(0.15),17.201(0.007),16.789(0.006),24.81(0.29),24.71(0.28),-3.10(0.22) 
J152923.93+425727.5,232.34973,42.95766,0.145,11.22(0.09),17.291(0.007),16.890(0.006),23.04(0.12),23.56(0.16),-2.45(0.22) 
J152926.64+423701.0,232.36100,42.61698,0.123,11.23(0.14),17.415(0.008),16.992(0.006),23.17(0.13),23.59(0.17),-2.44(0.21) 
J152942.16+431635.7,232.42569,43.27662,0.149,11.17(0.13),17.284(0.007),16.948(0.006),21.99(0.07),22.41(0.09),-2.01(0.21) 
J152944.69+425818.9,232.43625,42.97193,0.136,11.34(0.13),16.680(0.005),16.327(0.005),20.84(0.04),20.86(0.04),-1.74(0.19) 
J152949.32+432930.4,232.45551,43.49178,0.122,11.04(0.14),16.863(0.006),16.498(0.005),22.65(0.11),22.90(0.12),-2.42(0.21) 
J152956.84+430030.8,232.48688,43.00858,0.138,11.07(0.13),17.426(0.008),17.045(0.007),22.80(0.11),22.59(0.10),-2.18(0.21) 
J153012.75+441827.0,232.55314,44.30751,0.146,11.05(0.14),17.624(0.009),17.237(0.007),23.41(0.16),23.34(0.15),-2.38(0.21) 
J153025.87+430611.6,232.60782,43.10323,0.137,11.42(0.10),16.475(0.005),16.110(0.004),22.16(0.08),22.10(0.08),-2.33(0.21) 
J153030.57+435323.5,232.62740,43.88988,0.147,11.05(0.09),17.597(0.008),17.215(0.007),24.68(0.27),23.55(0.16),-2.66(0.22) 
J153053.92+434140.0,232.72470,43.69445,0.132,11.72(0.11),15.871(0.004),15.471(0.003),21.97(0.08),21.59(0.06),-2.45(0.21) 
J153129.52+443649.2,232.87302,44.61366,0.148,11.50(0.12),16.520(0.005),16.138(0.004),21.94(0.08),22.02(0.10),-2.25(0.21) 
J153130.29+430022.7,232.87624,43.00634,0.143,11.77(0.15),16.377(0.005),15.977(0.004),21.07(0.05),20.77(0.04),-1.90(0.20) 
J153130.40+431923.7,232.87670,43.32326,0.142,11.63(0.10),16.242(0.004),15.863(0.004),22.56(0.10),22.58(0.10),-2.60(0.22) 
J153132.72+424947.8,232.88634,42.82994,0.143,11.60(0.13),16.346(0.005),15.949(0.004),20.56(0.04),20.17(0.03),-1.70(0.19) 
J153203.28+441922.3,233.01365,44.32287,0.115,11.33(0.15),16.423(0.005),16.053(0.004),20.90(0.04),21.06(0.05),-1.89(0.20) 
J153206.64+434051.4,233.02769,43.68094,0.143,11.40(0.12),16.865(0.006),16.468(0.005),23.08(0.13),22.70(0.12),-2.49(0.22) 
J153248.43+433621.5,233.20183,43.60600,0.136,11.24(0.15),17.130(0.007),16.705(0.006),22.52(0.10),22.64(0.11),-2.25(0.21) 
J153529.16+430153.6,233.87152,43.03155,0.143,11.54(0.13),16.999(0.006),16.569(0.005),21.70(0.07),21.78(0.07),-1.97(0.21) 
J153540.43+434221.1,233.91850,43.70587,0.145,11.14(0.14),17.262(0.007),16.899(0.006),21.94(0.07),22.18(0.08),-1.98(0.21) 
J153547.82+424734.3,233.94927,42.79287,0.142,11.26(0.11),17.181(0.007),16.775(0.006),22.27(0.08),23.78(0.17),-2.27(0.21) 
J153633.62+442319.6,234.14009,44.38879,0.147,11.37(0.10),16.947(0.006),16.519(0.005),21.15(0.05),20.85(0.05),-1.71(0.19) 
J153753.57+423640.4,234.47323,42.61123,0.147,11.11(0.14),17.412(0.008),16.968(0.006),99.00(99.00),99.00(99.00),nan(99.00) 
J154042.39+422136.1,235.17666,42.36004,0.142,12.01(0.12),15.712(0.004),15.254(0.003),21.62(0.06),21.14(0.05),-2.36(0.21) 
J154211.28+441039.7,235.54705,44.17770,0.129,11.03(0.12),17.336(0.007),16.913(0.006),21.75(0.06),21.55(0.06),-1.81(0.20) 
J154218.31+415431.9,235.57629,41.90886,0.142,12.08(0.11),15.415(0.003),14.903(0.002),20.58(0.05),20.31(0.04),-2.12(0.21) 
J154218.98+423156.2,235.57909,42.53231,0.144,11.14(0.14),17.436(0.008),16.985(0.006),23.46(0.16),23.17(0.15),-2.44(0.21) 
J154222.08+420017.9,235.59191,42.00498,0.074,11.02(0.15),16.478(0.005),15.963(0.004),20.94(0.05),20.43(0.04),-1.79(0.20) 
J154307.96+421200.1,235.78320,42.20004,0.102,11.17(0.11),16.929(0.006),16.459(0.005),22.18(0.08),21.75(0.07),-2.11(0.21) 
J154312.45+415938.4,235.80188,41.99400,0.143,11.42(0.12),16.914(0.006),16.459(0.005),21.69(0.07),21.37(0.06),-1.94(0.20) 
J154343.23+423012.4,235.93013,42.50347,0.101,11.20(0.10),16.562(0.005),16.108(0.004),21.84(0.07),21.05(0.05),-2.04(0.21) 
J154358.95+441125.2,235.99567,44.19034,0.120,11.21(0.12),16.929(0.006),16.534(0.005),21.18(0.05),20.81(0.05),-1.71(0.19) 
J154425.02+415351.8,236.10425,41.89773,0.102,11.05(0.09),17.169(0.007),16.692(0.006),23.56(0.19),22.40(0.11),-2.40(0.21) 
J154425.13+415204.3,236.10472,41.86788,0.104,11.36(0.11),16.137(0.004),15.723(0.004),22.29(0.11),19.42(0.02),-1.75(0.20) 
J154527.24+443643.8,236.36352,44.61217,0.120,11.25(0.17),17.369(0.008),16.932(0.006),22.45(0.10),22.41(0.11),-2.11(0.21) 
J154803.85+443403.2,237.01605,44.56757,0.134,11.24(0.12),16.956(0.006),16.434(0.005),24.32(0.35),22.93(0.15),-2.74(0.22) 
J154814.70+442256.7,237.06129,44.38241,0.135,11.10(0.11),17.273(0.007),16.865(0.006),22.64(0.12),22.48(0.11),-2.20(0.21) 
J154913.05+443406.9,237.30440,44.56860,0.132,11.38(0.10),16.818(0.006),16.366(0.005),22.85(0.15),22.51(0.12),-2.44(0.21) 
J154917.62+440022.9,237.32345,44.00637,0.142,11.43(0.13),17.024(0.006),16.547(0.005),23.54(0.15),22.72(0.11),-2.53(0.22) 
J155005.51+441323.0,237.52296,44.22306,0.101,11.33(0.09),16.378(0.005),15.935(0.004),22.16(0.08),21.80(0.07),-2.33(0.21) 
J155235.82+422103.7,238.14929,42.35104,0.125,11.24(0.14),16.849(0.006),16.423(0.005),99.00(99.00),22.33(0.09),-2.67(0.22) 
J155754.88+443700.1,239.47866,44.61668,0.137,11.20(0.11),17.427(0.008),16.947(0.006),21.63(0.07),21.58(0.07),-1.77(0.20) 
J160016.08+430234.6,240.06702,43.04296,0.137,11.07(0.11),17.335(0.007),16.943(0.006),22.62(0.10),22.39(0.09),-2.15(0.21) 
J160022.27+444321.6,240.09284,44.72266,0.135,11.46(0.11),16.289(0.005),15.835(0.004),19.75(0.03),19.62(0.03),-1.46(0.17) 
J160135.65+430400.6,240.39860,43.06684,0.139,11.64(0.16),16.975(0.006),16.466(0.005),22.98(0.14),23.07(0.13),-2.51(0.22) 
J160248.85+425839.1,240.70360,42.97753,0.148,11.48(0.10),16.928(0.006),16.491(0.005),22.35(0.09),22.11(0.08),-2.21(0.21) 
J160329.05+435621.6,240.87106,43.93932,0.132,11.04(0.12),17.502(0.008),17.039(0.006),24.36(0.23),25.07(0.36),-2.92(0.22) 
J160550.80+430658.2,241.46168,43.11620,0.138,11.48(0.11),16.736(0.006),16.296(0.005),21.80(0.07),22.09(0.08),-2.15(0.21) 
J160628.18+432605.9,241.61745,43.43500,0.138,11.18(0.12),17.253(0.007),16.860(0.006),21.86(0.07),21.80(0.07),-1.91(0.20) 
J160716.58+430820.5,241.81910,43.13904,0.089,11.10(0.15),16.305(0.005),15.892(0.004),20.91(0.04),20.83(0.04),-1.91(0.20) 
J160830.40+422137.3,242.12669,42.36036,0.116,11.91(0.16),16.306(0.005),15.797(0.004),21.40(0.06),20.97(0.05),-2.06(0.21) 
J160930.71+421348.7,242.37795,42.23021,0.115,11.19(0.12),16.740(0.006),16.310(0.005),21.78(0.07),21.79(0.07),-2.10(0.21) 
J160943.84+443748.6,242.43268,44.63017,0.112,11.25(0.10),16.675(0.006),16.238(0.004),22.03(0.10),24.37(0.29),-2.41(0.21) 
J161006.43+415405.7,242.52682,41.90159,0.133,11.28(0.13),17.168(0.007),16.742(0.006),21.90(0.09),21.51(0.07),-1.91(0.20) 
J161208.26+434818.0,243.03444,43.80501,0.145,11.16(0.12),17.310(0.007),16.907(0.006),23.68(0.17),22.75(0.11),-2.43(0.21) 
J161310.93+435605.5,243.29554,43.93489,0.145,11.71(0.12),16.274(0.005),15.873(0.004),22.49(0.09),99.00(99.00),-2.90(0.22) 
J161312.80+435424.8,243.30337,43.90692,0.145,11.36(0.12),17.091(0.007),16.663(0.005),20.99(0.04),20.58(0.04),-1.57(0.18) 
J161313.77+441500.8,243.30737,44.25024,0.138,11.06(0.16),17.337(0.007),16.949(0.006),22.50(0.09),22.77(0.12),-2.18(0.21) 
J161318.15+420823.6,243.32564,42.13989,0.138,11.04(0.15),17.050(0.007),16.707(0.006),21.43(0.06),20.91(0.05),-1.72(0.19) 
J161335.78+435513.6,243.39911,43.92046,0.145,11.20(0.12),17.416(0.008),17.005(0.006),23.67(0.16),25.87(0.57),-2.77(0.22) 
J161415.42+434542.9,243.56428,43.76191,0.145,11.43(0.13),17.073(0.007),16.651(0.005),21.96(0.07),22.34(0.09),-2.09(0.21) 
J161519.27+420215.5,243.83029,42.03765,0.139,11.51(0.11),16.266(0.005),15.888(0.004),21.37(0.07),21.16(0.07),-2.08(0.21) 
J161628.46+422419.2,244.11860,42.40535,0.139,11.41(0.12),16.813(0.006),16.290(0.005),22.85(0.12),22.18(0.09),-2.39(0.21) 
J161643.84+435006.4,244.18269,43.83511,0.112,11.22(0.15),16.764(0.006),16.351(0.005),20.74(0.04),20.60(0.04),-1.65(0.19) 
J161744.29+423041.2,244.43452,42.51147,0.133,11.06(0.11),17.356(0.007),16.942(0.006),22.89(0.13),22.88(0.13),-2.29(0.21) 
J161745.16+434429.7,244.43823,43.74157,0.136,11.27(0.12),17.121(0.007),16.716(0.006),22.40(0.09),22.06(0.08),-2.13(0.21) 
J161904.17+420055.8,244.76739,42.01551,0.133,11.08(0.11),17.650(0.009),17.221(0.007),99.00(99.00),99.00(99.00),nan(99.00) 
J161959.68+423542.1,244.99866,42.59503,0.135,11.22(0.14),16.939(0.006),16.538(0.005),21.79(0.07),22.23(0.09),-2.08(0.21) 
J162018.59+421845.1,245.07746,42.31254,0.135,11.06(0.13),17.284(0.007),16.934(0.006),22.14(0.09),21.76(0.07),-1.94(0.20) 
